,Vehicle_Make,Vehicle_Standardized,Luxury
1,.,,
2,ABARH,ABARH,
3,AC,ACURA,
4,ACUR,ACURA,
5,ACURA,ACURA,
6,ACURE,ACURA,
7,ACYRA,ACURA,
8,ADC,ADC,
9,AEJY,AEJY,
10,AIFOR,AIFOR,
11,ALERO,ALERO,
12,ALFAR,ALFAR,
13,AMC,AMC,
14,ANCIA,ANCIA,
15,APRIL,APRIL,
16,ASTO,ASTO,1
17,AUDI,AUDI,1
18,AUDL,AUDI,1
19,AUSTI,AUSTI,
20,AUTOC,AUTOC,
21,BENTL,BENTL,1
22,BMW,BMW,1
23,BSA,BSA,
24,BUGAT,BUGAT,1
25,BUICK,BUICK,
26,BYLU,BYLU,
27,CADIL,CADIL,1
28,CAMER,CAMER,
29,CATRI,CATRI,
30,CHECK,CHECK,
31,CHEVR,CHEVR,
32,CHEYS,CHEVR,
33,CHRY,CHRYS,
34,CHRYS,CHRYS,
35,CHRYY,CHRYS,
36,CITRO,CITRO,
37,DAEWO,DAEWO,
38,DATSU,DATSU,
39,DIAMO,DIAMO,
40,DODGE,DODGE,
41,DORSE,DORSE,
42,DUCAT,DUCAT,1
43,EIAG,EIAG,
44,EXUS,EXUS,
45,EZL,EZL,
46,FALCO,FALCO,
47,FERRA,FERRA,1
48,FIAT,FIAT,
49,FIATR,FIAT,
50,FIHT,FIAT,
51,FISKE,FISKE,
52,FLUX,FLUX,
53,FONTA,FONTA,
54,FORD,FORD,
55,GENES,GENES,
56,GENSI,GENES,
57,GEO,GEO,
58,GMC,GMC,
59,GREAT,GREAT,
60,GRUMM,GRUMM,
61,GRY,GRY,
62,HARLE,HARLE,
63,HIGHW,HIGHW,
64,HN,HONDA,
65,HNY,HONDA,
66,HONDA,HONDA,
67,HORLE,HORLE,
68,HUD,HUD,
69,HUMBE,HUMBE,
70,HUMME,HUMME,
71,HUYN,HYUND,
72,HYAUD,HYUND,
73,HYIDA,HYUND,
74,HYUN,HYUND,
75,HYUND,HYUND,
76,HYV,HYUND,
77,IMPLA,IMPLA,
78,INFAI,INFAI,
79,INFIN,INFIN,
80,INTER,INTER,
81,JAGUA,JAGUA,1
82,JEEP,JEEP,
83,JENSE,JENSE,
84,JUGER,JUGER,
85,KAWAS,KAWAS,
86,KENTU,KENTU,
87,KENWO,KENWO,
88,KIA,KIA,
89,L/R,L/R,1
90,LA,LA,
91,LA R,LA R,
92,LADA,LADA,
93,LAMBO,LAMBO,1
94,LEXU,LEXUS,
95,LEXUS,LEXUS,
96,LINCO,LINCO,
97,LIR,LIR,
98,LN,LN,
99,LOTUS,LOTUS,1
100,M,M,
101,MACK,MACK,
102,MAGIR,MAGIR,
103,MASE,MASE,
104,MASEN,MASEN,
105,MASSA,MASSA,1
106,MAYBA,MAYBA,
107,MAZD,MAZDA,
108,MAZDA,MAZDA,
109,MCI,MCI,
110,ME/BE,ME/BE,1
111,MERCU,MERCU,
112,MESE,MESE,
113,MG,MG,
114,MIMIC,MIMIC,
115,MINI,MINI,
116,MITSB,MITSU,
117,MITSU,MITSU,
118,MORGA,MORGA,
119,MPI,MPI,
120,MUSIA,MUSIA,
121,N/S,N/S,
122,NAVIS,NAVIS,
123,NISSA,NISSA,
124,NIU,NIU,
125,NU,NU,
126,OLAD,OLAD,
127,OLDSM,OLDSM,
128,OLKS,OLKS,
129,OPELP,OPELP,
130,OWDSH,OWDSH,
131,PETER,PETER,
132,PEUGE,PEUGE,
133,PLAG,PLAG,
134,PLYMO,PLYMO,
135,PONTI,PONTI,
136,PORSC,PORSC,1
137,PREVO,PREVO,
138,R/R,RA/RO,
139,RA/RO,RA/RO,
140,RAM,RAM,
141,RAN,RAM,
142,RENAU,RENAU,
143,REVEL,REVEL,
144,REVIL,REVIL,
145,ROLLS,ROLLS,1
146,ROVER,RA/RO,
147,SAAB,SAAB,
148,SATUR,SATUR,
149,SBRUN,SUBAR,
150,SBU,SBU,
151,SCION,SCION,
152,SIMCA,SIMCA,
153,SION,SCION,
154,SKODA,SKODA,
155,SMART,SMART,
156,SMITH,SMITH,
157,SPRI,SPRI,
158,STERL,STERL,
159,STUDE,STUDE,
160,SU8,SU8,
161,SUBA,SUBAR,
162,SUBAR,SUBAR,
163,SUDPE,SUDPE,
164,SUNBE,SUNBE,
165,SUSZ,SUSZ,
166,SUZKT,SUZKT,
167,SUZUK,SUZUK,
168,TELSA,TESLA,1
169,TESIA,TESLA,1
170,TESLA,TESLA,1
171,THEUR,THEUR,
172,THOMA,THOMA,
173,TJ,TJ,
174,TOYOT,TOYOT,
175,TRAIL,TRAIL,
176,TRIUM,TRIUM,
177,TSLA,TESLA,
178,UD,UD,
179,VALHO,VALHO,
180,VANHO,VALHO,
181,VESPA,VESPA,
182,VKS,VOLKS,
183,VLKGA,VOLKS,
184,VM,VM,
185,VOLK,VOLKS,
186,VOLKS,VOLKS,
187,VOLV,VOLVO,
188,VOLVO,VOLVO,
189,WHITE,WHITE,
190,WORKH,WORKH,
191,YAMAH,YAMAS,
192,YAMAS,YAMAS,
193,YUGO,YUGO,
194,ZUMA,ZUMA,
